2019 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2019),2019 Passengers (10% sample),,,,,,,,,,,
190,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,421.03,421.03," 10,304 ",,,,,,,,,,,
191,MOT,Minot International,Minot,ND,449.56,449.56," 10,294 ",,,,,,,,,,,
192,LBE,Arnold Palmer Regional,Latrobe,PA,135.30,135.30," 9,753 ",,,,,,,,,,,
193,MGM,Montgomery Regional,Montgomery,AL,533.35,533.35," 9,610 ",,,,,,,,,,,
194,PBG,Plattsburgh International,Plattsburgh,NY,228.88,228.88," 9,525 ",,,,,,,,,,,
195,RST,Rochester International,Rochester,MN,394.93,394.93," 9,430 ",,,,,,,,,,,
196,IDA,Idaho Falls Regional,Idaho Falls,ID,521.73,521.73," 9,389 ",,,,,,,,,,,
197,LAN,Capital Region International,Lansing,MI,433.62,433.62," 9,380 ",,,,,,,,,,,
198,ELM,Elmira/Corning Regional,Elmira/Corning,NY,407.52,407.52," 9,347 ",,,,,,,,,,,
199,GRK,Robert Gray AAF,Killeen,TX,416.93,416.93," 9,286 ",,,,,,,,,,,
200,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,565.37,565.37," 9,279 ",,,,,,,,,,,
201,DRO,Durango La Plata County,Durango,CO,548.68,548.68," 8,980 ",,,,,,,,,,,
202,RFD,Chicago/Rockford International,Rockford,IL,201.13,201.13," 8,934 ",,,,,,,,,,,
203,DLH,Duluth International,Duluth,MN,446.93,446.93," 8,557 ",,,,,,,,,,,
204,BFL,Meadows Field,Bakersfield,CA,521.61,521.61," 8,477 ",,,,,,,,,,,
205,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,465.05,465.05," 8,468 ",,,,,,,,,,,
206,LNK,Lincoln Airport,Lincoln,NE,481.37,481.37," 8,441 ",,,,,,,,,,,
207,IAG,Niagara Falls International,Niagara Falls,NY,190.36,190.36," 8,306 ",,,,,,,,,,,
208,TOL,Toledo Express,Toledo,OH,279.77,279.77," 8,061 ",,,,,,,,,,,
209,CWA,Central Wisconsin,Mosinee,WI,487.54,487.54," 7,918 ",,,,,,,,,,,
210,STX,Henry E. Rohlsen,Christiansted,VI,473.77,473.77," 7,768 ",,,,,,,,,,,
211,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,260.94,260.94," 7,691 ",,,,,,,,,,,
212,COU,Columbia Regional,Columbia,MO,437.33,437.33," 7,639 ",,,,,,,,,,,
213,MBS,MBS International,Saginaw/Bay City/Midland,MI,532.78,532.78," 7,375 ",,,,,,,,,,,
214,SCK,Stockton Metropolitan,Stockton,CA,155.79,155.79," 7,259 ",,,,,,,,,,,
215,GFK,Grand Forks International,Grand Forks,ND,452.32,452.32," 7,230 ",,,,,,,,,,,
216,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,423.87,423.87," 7,125 ",,,,,,,,,,,
217,BRO,Brownsville South Padre Island International,Brownsville,TX,420.18,420.18," 6,581 ",,,,,,,,,,,
218,PSE,Mercedita,Ponce,PR,251.80,251.80," 6,474 ",,,,,,,,,,,
219,AEX,Alexandria International,Alexandria,LA,510.56,510.56," 6,343 ",,,,,,,,,,,
220,CMI,University of Illinois/Willard,Champaign/Urbana,IL,545.59,545.59," 6,341 ",,,,,,,,,,,
221,MLU,Monroe Regional,Monroe,LA,502.01,502.01," 6,336 ",,,,,,,,,,,
222,ORH,Worcester Regional,Worcester,MA,312.05,312.05," 6,329 ",,,,,,,,,,,
223,HLN,Helena Regional,Helena,MT,491.35,491.35," 6,257 ",,,,,,,,,,,
224,ITH,Ithaca Tompkins Regional,Ithaca/Cortland,NY,489.80,489.80," 6,176 ",,,,,,,,,,,
225,PVU,Provo Municipal,Provo,UT,120.64,120.64," 6,022 ",,,,,,,,,,,
226,FLG,Flagstaff Pulliam,Flagstaff,AZ,416.99,416.99," 6,012 ",,,,,,,,,,,
227,ERI,Erie International/Tom Ridge Field,Erie,PA,412.76,412.76," 5,979 ",,,,,,,,,,,
228,LSE,La Crosse Regional,La Crosse,WI,453.39,453.39," 5,956 ",,,,,,,,,,,
229,SAF,Santa Fe Municipal,Santa Fe,NM,433.13,433.13," 5,938 ",,,,,,,,,,,
230,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,461.65,461.65," 5,878 ",,,,,,,,,,,
231,LRD,Laredo International,Laredo,TX,414.66,414.66," 5,637 ",,,,,,,,,,,
232,YUM,Yuma MCAS/Yuma International,Yuma,AZ,456.05,456.05," 5,624 ",,,,,,,,,,,
233,CPR,Casper/Natrona County International,Casper,WY,553.19,553.19," 5,614 ",,,,,,,,,,,
234,KTN,Ketchikan International,Ketchikan,AK,472.61,472.61," 5,464 ",,,,,,,,,,,
235,SGU,St George Regional,St. George,UT,408.24,408.24," 5,315 ",,,,,,,,,,,
236,MTJ,Montrose Regional,Montrose/Delta,CO,464.89,464.89," 5,281 ",,,,,,,,,,,
237,FSM,Fort Smith Regional,Fort Smith,AR,517.61,517.61," 5,214 ",,,,,,,,,,,
238,GUM,Guam International,Guam,TT,1170.64,1170.64," 5,161 ",,,,,,,,,,,
239,ABI,Abilene Regional,Abilene,TX,525.68,525.68," 4,875 ",,,,,,,,,,,
240,GRI,Central Nebraska Regional,Grand Island,NE,308.04,308.04," 4,835 ",,,,,,,,,,,
241,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,518.49,518.49," 4,799 ",,,,,,,,,,,
242,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,523.62,523.62," 4,775 ",,,,,,,,,,,
243,SPI,Abraham Lincoln Capital,Springfield,IL,403.96,403.96," 4,756 ",,,,,,,,,,,
244,CLL,Easterwood Field,College Station/Bryan,TX,484.61,484.61," 4,725 ",,,,,,,,,,,
245,EGE,Eagle County Regional,Eagle,CO,506.15,506.15," 4,535 ",,,,,,,,,,,
246,BET,Bethel Airport,Bethel,AK,365.03,365.03," 4,432 ",,,,,,,,,,,
247,PSM,Portsmouth International at Pease,Portsmouth,NH,225.89,225.89," 4,192 ",,,,,,,,,,,
248,HHH,Hilton Head Airport,Hilton Head,SC,454.29,454.29," 4,188 ",,,,,,,,,,,
249,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,449.55,449.55," 4,092 ",,,,,,,,,,,
250,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,535.63,535.63," 4,049 ",,,,,,,,,,,
251,PUW,Pullman Moscow Regional,Pullman,WA,392.30,392.30," 4,047 ",,,,,,,,,,,
252,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,511.22,511.22," 4,034 ",,,,,,,,,,,
253,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,461.49,461.49," 3,948 ",,,,,,,,,,,
254,EAT,Pangborn Memorial,Wenatchee,WA,429.79,429.79," 3,836 ",,,,,,,,,,,
255,LCH,Lake Charles Regional,Lake Charles,LA,539.08,539.08," 3,772 ",,,,,,,,,,,
256,TYR,Tyler Pounds Regional,Tyler,TX,467.92,467.92," 3,675 ",,,,,,,,,,,
257,ISN,Sloulin Field International,Williston,ND,645.37,645.37," 3,608 ",,,,,,,,,,,
258,ACK,Nantucket Memorial,Nantucket,MA,386.85,386.85," 3,566 ",,,,,,,,,,,
259,ACT,Waco Regional,Waco,TX,561.91,561.91," 3,542 ",,,,,,,,,,,
260,SIT,Sitka Rocky Gutierrez,Sitka,AK,443.81,443.81," 3,515 ",,,,,,,,,,,
261,MQT,Sawyer International,Marquette,MI,512.72,512.72," 3,454 ",,,,,,,,,,,
262,ROW,Roswell International Air Center,Roswell,NM,510.73,510.73," 3,366 ",,,,,,,,,,,
