zoo_name,state
"International Exotic Animal Sanctuary, Boyd[34]",Texas
"Moody Gardens, Galveston",Texas
"Natural Bridge Wildlife Ranch, New Braunfels",Texas
"San Antonio Zoo and Aquarium, San Antonio",Texas
"Sharkarosa Wildlife Ranch, Pilot Point[35]",Texas
"Texas Reptile Zoo, Bastrop[36]",Texas
"The Texas Zoo, Victoria[37]",Texas
"Tiger Creek Wildlife Refuge, Tyler[38]",Texas
"Wild Things Zoofari, Austin",Texas
"Hogle Zoo, Salt Lake City",Utah
"Tracy Aviary, Salt Lake City",Utah
"Wild Kingdom Train Zoo, Farmington",Utah
"Zootah, Logan",Utah
"ECHO, Leahy Center for Lake Champlain, Burlington",Vermont
"Vermont Institute of Natural Science, Quechee[39]",Vermont
"Bluebird Gap Farm, Hampton",Virginia
"Busch Gardens Williamsburg, Williamsburg",Virginia
"Creation Kingdom Zoo, Gate City",Virginia
"Fort Chiswell Animal Park, Wythe",Virginia
"Leesburg Animal Park, Leesburg",Virginia
"Luray Zoo, Luray",Virginia
"Maymont, Richmond",Virginia
"Metro Richmond Zoo, Richmond",Virginia
"Mill Mountain Zoo, Roanoke",Virginia
"Natural Bridge Zoo, Natural Bridge",Virginia
"Peninsula SPCA Exotic Sanctuary and Petting Zoo, Newport News",Virginia
"Roer's Zoofari, Reston",Virginia
"Virginia Living Museum, Newport News",Virginia
"Virginia Safari Park, Natural Bridge",Virginia
"Virginia Zoological Park, Norfolk",Virginia
"Wilson's Wild Animal Park, Winchester (closed 2019)",Virginia
"Cat Tales Zoological Park, Spokane",Washington
"Cougar Mountain Zoo, Issaquah",Washington
"Northwest Trek, Eatonville",Washington
"Olympic Game Farm, Sequim",Washington
"Point Defiance Zoo & Aquarium, Tacoma",Washington
"Wild Felid Advocacy Center, Shelton",Washington
"Wolf Haven International, Tanino",Washington
"Woodland Park Zoo, Seattle",Washington
"Good Zoo, Wheeling",West Virginia
"West Virginia State Wildlife Center, French Creek",West Virginia
"West Virginia Zoo, Kingwood",West Virginia
"Alligator Alley, Wisconsin Dells",Wisconsin
"Animal Haven Zoo, Weyauwega[40]",Wisconsin
"Bay Beach Wildlife Sanctuary, Green Bay[41]",Wisconsin
"Bear Den Zoo, Waterford[42]",Wisconsin
"Concord Zoo, Concord",Wisconsin
"Henry Vilas Zoo, Madison",Wisconsin
"International Crane Foundation, Baraboo",Wisconsin
"Irvine Park Zoo, Chippewa Falls[43]",Wisconsin
"Jo-Don Farms Incorporated, Franksville[44]",Wisconsin
"Lincoln Park Zoo, Manitowoc",Wisconsin
"Menominee Park Zoo, Oshkosh[45]",Wisconsin
"Milwaukee County Zoo, Milwaukee",Wisconsin
"Northeastern Wisconsin Zoo (NEW Zoo), Green Bay",Wisconsin
"Ochsner Zoo, Baraboo[46]",Wisconsin
"Racine Zoo, Racine",Wisconsin
"Shalom Wildlife Zoo, West Bend",Wisconsin
"Timbavati Wildlife Park, Wisconsin Dells[47]",Wisconsin
"Wilderness Walk, Hayward[48]",Wisconsin
"Wildwood Wildlife Park, Minocqua[49]",Wisconsin
"Wildwood Zoo, Marshfield[50]",Wisconsin
"Wisconsin Deer Park, Wisconsin Dells[51]",Wisconsin
"Wisconsin Rapids Municipal Zoo, Wisconsin Rapids[52]",Wisconsin
"Kindness Ranch Animal Sanctuary, Hartville",Wyoming
